"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions","Jaccard"
"1","JN626286.1","Pseudomonas_aeruginosa_","37","350","438","6299","131860",NA
"2","LN864819.1","Pseudomonas_aeruginosa_","57","450","684","6299","131860",NA
"3","NZ_KX523901.1","Pseudomonas_aeruginosa_","12","74","73","6299","131860",NA
"4","MT441554.1","Pseudomonas_aeruginosa_","18","160","167","6299","131860",NA
"5","JN626286.1","Burkholderia_cepacia_","37","190","191","7323","122999",NA
"6","LN864819.1","Burkholderia_cepacia_","57","260","290","7323","122999",NA
"7","NZ_KX523901.1","Burkholderia_cepacia_","12","72","71","7323","122999",NA
"8","MT441554.1","Burkholderia_cepacia_","18","180","182","7323","122999",NA
"9","JN626286.1","Pseudomonas_oleovorans_","37","0","0","4683","132742",NA
"10","LN864819.1","Pseudomonas_oleovorans_","57","0","0","4683","132742",NA
"11","NZ_KX523901.1","Pseudomonas_oleovorans_","12","0","0","4683","132742",NA
"12","MT441554.1","Pseudomonas_oleovorans_","18","60","59","4683","132742",NA
"13","JN626286.1","Xanthomonas_campestris_pv._campestris_","37","152","166","4467","67256",NA
"14","LN864819.1","Xanthomonas_campestris_pv._campestris_","57","152","166","4467","67256",NA
"15","NZ_KX523901.1","Xanthomonas_campestris_pv._campestris_","12","55","54","4467","67256",NA
"16","MT441554.1","Xanthomonas_campestris_pv._campestris_","18","113","116","4467","67256",NA
"17","JN626286.1","Agrobacterium_rhizogenes_","37","147","183","6428","156272",NA
"18","LN864819.1","Agrobacterium_rhizogenes_","57","147","183","6428","156272",NA
"19","NZ_KX523901.1","Agrobacterium_rhizogenes_","12","0","0","6428","156272",NA
"20","MT441554.1","Agrobacterium_rhizogenes_","18","120","122","6428","156272",NA
"21","JN626286.1","Sinorhizobium_fredii_NGR234_","37","99","242","4053","58322",NA
"22","LN864819.1","Sinorhizobium_fredii_NGR234_","57","99","242","4053","58322",NA
"23","NZ_KX523901.1","Sinorhizobium_fredii_NGR234_","12","0","0","4053","58322",NA
"24","MT441554.1","Sinorhizobium_fredii_NGR234_","18","74","103","4053","58322",NA
"25","JN626286.1","Acinetobacter_baumannii_","37","0","0","4136","66809",NA
"26","LN864819.1","Acinetobacter_baumannii_","57","0","0","4136","66809",NA
