"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions","Jaccard"
"1","EU935739","Pseudomonas_aeruginosa_",84,314,"381",6299,"131860",0.049
"2","EU935740","Pseudomonas_aeruginosa_",86,596,"1187",6299,"131860",0.093
"3","EU935738","Pseudomonas_aeruginosa_",55,211,"239",6299,"131860",0.033
"4","NZ_HG941719.1","Pseudomonas_aeruginosa_",44,235,"318",6299,"131860",0.037
"5","EU935739","Burkholderia_cepacia_",84,134,"132",7323,"122999",0.018
"6","EU935739","Pseudomonas_oleovorans_",84,0,"0",4683,"132742",0
"7","EU935740","Pseudomonas_oleovorans_",86,0,"0",4683,"132742",0
"8","EU935738","Pseudomonas_oleovorans_",55,0,"0",4683,"132742",0
"9","NZ_HG941719.1","Pseudomonas_oleovorans_",44,0,"0",4683,"132742",0
"10","EU935739","Xanthomonas_campestris_pv._campestris_",84,144,"144",4467,"67256",0.032
"11","EU935740","Xanthomonas_campestris_pv._campestris_",86,391,"790",4467,"67256",0.086
"12","EU935738","Xanthomonas_campestris_pv._campestris_",55,138,"149",4467,"67256",0.031
"13","EU935740","Burkholderia_cepacia_",86,199,"199",7323,"122999",0.027
"14","EU935738","Burkholderia_cepacia_",55,103,"103",7323,"122999",0.014
"15","NZ_HG941719.1","Burkholderia_cepacia_",44,157,"211",7323,"122999",0.021
"16","NZ_HG941719.1","Xanthomonas_campestris_pv._campestris_",44,105,"108",4467,"67256",0.023
"17","EU935739","Agrobacterium_rhizogenes_",84,56,"55",6428,"156272",0.009
"18","EU935740","Agrobacterium_rhizogenes_",86,0,"0",6428,"156272",0
"19","EU935738","Agrobacterium_rhizogenes_",55,31,"30",6428,"156272",0.005
"20","NZ_HG941719.1","Agrobacterium_rhizogenes_",44,31,"30",6428,"156272",0.005
"21","EU935739","Sinorhizobium_fredii_NGR234_",84,82,"204",4053,"58322",0.02
"22","EU935740","Sinorhizobium_fredii_NGR234_",86,85,"312",4053,"58322",0.021
"23","EU935738","Sinorhizobium_fredii_NGR234_",55,70,"152",4053,"58322",0.017
"24","NZ_HG941719.1","Sinorhizobium_fredii_NGR234_",44,79,"339",4053,"58322",0.019
"25","EU935739","Acinetobacter_baumannii_",84,0,"0",4136,"66809",0
"26","EU935740","Acinetobacter_baumannii_",86,37,"36",4136,"66809",0.009
"27","EU935738","Acinetobacter_baumannii_",55,0,"0",4136,"66809",0
"28","NZ_HG941719.1","Acinetobacter_baumannii_",44,0,"0",4136,"66809",0
"29","EU935739","Alcaligenes_faecalis_",84,14,"13",3846,"46327",0.004
"30","EU935740","Alcaligenes_faecalis_",86,0,"0",3846,"46327",0
"31","EU935738","Alcaligenes_faecalis_",55,0,"0",3846,"46327",0
"32","NZ_HG941719.1","Alcaligenes_faecalis_",44,0,"0",3846,"46327",0
"33","EU935739","Pantoea_agglomerans_",84,86,"96",4914,"65364",0.017
"34","EU935740","Pantoea_agglomerans_",86,0,"0",4914,"65364",0
"35","EU935738","Pantoea_agglomerans_",55,0,"0",4914,"65364",0
"36","NZ_HG941719.1","Pantoea_agglomerans_",44,4,"3",4914,"65364",0.001
"37","EU935739","Klebsiella_oxytoca_",84,346,"381",5789,"77528",0.059
"38","EU935740","Klebsiella_oxytoca_",86,190,"187",5789,"77528",0.032
"39","EU935738","Klebsiella_oxytoca_",55,236,"245",5789,"77528",0.04
"40","NZ_HG941719.1","Klebsiella_oxytoca_",44,165,"159",5789,"77528",0.028
"41","EU935739","Klebsiella_pneumoniae_",84,48,"46",5797,"83357",0.008
"42","EU935740","Klebsiella_pneumoniae_",86,0,"0",5797,"83357",0
"43","EU935738","Klebsiella_pneumoniae_",55,0,"0",5797,"83357",0
"44","NZ_HG941719.1","Klebsiella_pneumoniae_",44,0,"0",5797,"83357",0
"45","EU935739","Proteus_vulgaris_",84,159,"169",3592,"52313",0.043
"46","EU935740","Proteus_vulgaris_",86,108,"115",3592,"52313",0.029
"47","EU935738","Proteus_vulgaris_",55,56,"53",3592,"52313",0.015
"48","NZ_HG941719.1","Proteus_vulgaris_",44,4,"3",3592,"52313",0.001
"49","EU935739","Yersinia_pseudotuberculosis_",84,200,"213",4115,"67638",0.048
"50","EU935740","Yersinia_pseudotuberculosis_",86,157,"154",4115,"67638",0.037
"51","EU935738","Yersinia_pseudotuberculosis_",55,107,"105",4115,"67638",0.026
"52","NZ_HG941719.1","Yersinia_pseudotuberculosis_",44,96,"94",4115,"67638",0.023
"53","EU935739","Vibrio_vulnificus_",84,44,"42",4512,"77958",0.01
"54","EU935740","Vibrio_vulnificus_",86,134,"332",4512,"77958",0.029
"55","EU935738","Vibrio_vulnificus_",55,0,"0",4512,"77958",0
