"","Chrom","EU935740","EU935739","EU935738","NZ_HG941719.1"
"1","Escherichia_albertii_KF1_","183","117","77","77"
"2","Escherichia_albertii_TW07627_","130","44","0","0"
"3","Escherichia_coli_536_","199","140","137","80"
"4","Escherichia_coli_ATCC_8739_","197","142","127","64"
"5","Escherichia_coli_BL21","347","343","215","161"
"6","Escherichia_coli_CFT073_","413","376","355","118"
"7","Escherichia_coli_O157:H7_str._EDL933_","333","222","185","158"
"8","Escherichia_coli_str._K-12_substr._MG1655_","597","474","384","236"
"9","Escherichia_hermannii_NBRC_105704_","332","135","122","96"
"10","Escherichia_vulneris_NBRC_102420_","359","204","196","189"
"11","Klebsiella_oxytoca_","346","236","190","165"
"12","Klebsiella_pneumoniae_","48","0","0","0"
"13","Serratia_fonticola_AU-AP2C_","35","5","0","0"
"14","Serratia_fonticola_RB-25_","20","0","0","0"
"15","Serratia_grimesii_","47","0","0","0"
"16","Serratia_marcescens_FGI94_","17","0","0","0"
"17","Serratia_marcescens_subsp._marcescens_Db11_","267","162","126","84"
"18","Serratia_plymuthica_","36","0","0","0"
"19","Serratia_proteamaculans_568_","37","0","0","0"
"20","Serratia_sp._Ag1_","24","5","0","0"
"21","Serratia_sp._ATCC_39006_","56","41","33","0"
"22","Serratia_sp._DD3_","238","158","154","113"
"23","Serratia_sp._M24T3_","39","9","0","0"
"24","Serratia_symbiotica_str._'Cinara_cedri'_","64","54","40","33"
"25","Shigella_flexneri_2a_str._301_","417","398","266","184"
