"","x"
"1","aac-n3-acetyltransferase"
"2","aac3"
"3","aac3-ia"
"4","aac3-ib"
"5","aac3-iid"
"6","aac3-iie"
"7","aac3-iig"
"8","aac3-iva"
"9","aac3-via"
"10","aac6'-31"
"11","aac6'-ian"
"12","aac6'-ib"
"13","aac6'-ib-cr"
"14","aac6'-iic"
"15","aac6'-il"
"16","aada"
"17","aada1"
"18","aada2"
"19","aadb"
"20","aadd1"
"21","aafa"
"22","aafb"
"23","aafc"
"24","aafd"
"25","aap"
"26","aar"
"27","aat"
"28","aata"
"29","aatb"
"30","aatc"
"31","aatd"
"32","aatp"
"33","acac"
"34","acad"
"35","accb"
"36","accc"
"37","accc-1"
"38","accd"
"39","acds"
"40","acea"
"41","acee"
"42","acef"
"43","acna"
"44","acnb"
"45","acnd"
"46","acnm"
"47","acpp"
"48","acpp_2"
"49","acpp_3"
"50","acps"
"51","acr1"
"52","acr2"
"53","acs"
"54","acsa"
"55","actp"
"56","acvb"
"57","ada"
"58","adc"
"59","add"
"60","ade"
"61","adec"
"62","adhe"
"63","adhi_2"
"64","adhp"
"65","adia"
"66","adic"
"67","adk"
"68","aepx"
"69","aepy"
"70","aer"
"71","agg3a"
"72","agg3b"
"73","agg3c"
"74","agg3d"
"75","agga"
"76","aggb"
"77","aggc"
"78","aggd"
"79","aggr"
"80","ahcy"
"81","ahpc"
"82","ahpc_2"
"83","ahpf"
"84","ail"
"85","aior"
"86","aios"
"87","aiox"
"88","alac"
"89","alas"
"90","alc"
"91","ald"
"92","alda"
"93","alia"
"94","alib"
"95","alkb"
"96","alr"
"97","alss"
"98","amap"
"99","amic_3"
"100","amif"
"101","amn"
"102","ampc"
"103","ampe"
"104","amph"
"105","ampr"
"106","amrb"
"107","amya"
"108","anr"
"109","ant1"
"110","anta"
"111","antb"
"112","antc"
"113","apbc"
"114","aph"
"115","aph2''-ia"
"116","aph3'-i"
"117","aph3'-iiia"
"118","aph3'-xv"
"119","aph3''-ib"
"120","aph4-ia"
"121","aph6-ic"
"122","aqpz"
"123","aqpz2"
"124","araa"
"125","arac"
"126","arad"
"127","arag"
"128","arah"
"129","arca"
"130","arcb_2"
"131","arcc"
"132","arcd"
"133","ardb"
"134","ardk"
"135","ardr"
"136","arfb"
"137","argc"
"138","arge"
"139","argf"
"140","argg"
"141","argh"
"142","argj"
"143","args"
"144","arir"
"145","arma"
"146","arna"
"147","arnb"
"148","arnc"
"149","arnd"
"150","arne"
"151","arnf"
"152","arnt"
"153","arob"
"154","aroc"
"155","aroe"
"156","aroe_2"
"157","arog"
"158","aroq"
"159","aroq_2"
"160","arr"
"161","arsa"
"162","arsa_1"
"163","arsa_2"
"164","arsa_3"
"165","arsa_4"
"166","arsb"
"167","arsb_2"
"168","arsc"
"169","arsc_3"
"170","arsd"
"171","arsd_1"
"172","arsd_2"
"173","arsh"
"174","arsj"
"175","arsk"
"176","arsm"
"177","arsn2"
"178","arsr"
"179","arsr2"
"180","arsr2_2"
"181","artm"
"182","artp"
"183","artq"
"184","ascb"
"185","ascf"
"186","asd"
"187","asnb"
"188","asns"
"189","asp1"
"190","asp2"
"191","asp3"
"192","aspa"
"193","aspb_2"
"194","asps"
"195","aspt"
"196","asta"
"197","astb"
"198","astd"
"199","aste"
"200","atpa"
"201","atpb"
"202","atpc_2"
"203","atpd"
"204","atpe"
"205","atpg"
"206","atxa"
"207","atzd"
"208","atzf"
"209","avd"
"210","avrbst"
"211","azlc"
"212","azor"
"213","azor_2"
"214","bacd"
"215","badh"
"216","badi"
"217","baer"
"218","bama"
"219","bamb"
"220","bame"
"221","bar"
"222","bcme"
"223","bcn_2"
"224","bcn_3"
"225","bcra"
"226","bcrb"
"227","bcrc"
"228","bcsa"
"229","bcsb"
"230","bcse"
"231","bcsg"
"232","bcsn"
"233","bcsq"
"234","bcsz"
"235","bdca"
"236","bdha-1"
"237","bena"
"238","benb"
"239","benc"
"240","bend"
"241","bet"
"242","beta"
"243","betb"
"244","betc"
"245","beti"
"246","bett"
"247","bfpb"
"248","bfpd"
"249","bfpe"
"250","bfr"
"251","bglf"
"252","bglg"
"253","bglx"
"254","bigr"
"255","bin3"
"256","bioa"
"257","biob"
"258","bioc"
"259","biod"
"260","biof"
"261","bioi"
"262","bktb"
"263","bla"
"264","blacmy"
"265","blactx-m"
"266","blactx-m-2"
"267","blactx-m-55"
"268","blactxm-15"
"269","bladha"
"270","blafona"
"271","blages"
"272","blai"
"273","blakpc-2"
"274","blandm"
"275","blaoxa"
"276","blaoxa-1"
"277","blaoxa-2"
"278","blar1"
"279","blatem"
"280","blatem-1"
"281","blatem-1b"
"282","blaz"
"283","blc"
"284","ble"
"285","bleo"
"286","blh"
"287","blly"
"288","blub"
"289","bluf"
"290","blur"
"291","bmae"
"292","bper"
"293","bphb"
"294","bphc"
"295","bpla"
"296","bplb"
"297","bpsa"
"298","bpsb"
"299","bpsc"
"300","bpsd"
"301","bpse"
"302","bpsf"
"303","bpsg"
"304","bpsx"
"305","brkb"
"306","brxc"
"307","brxd"
"308","brxl"
"309","bsh"
"310","bsph"
"311","btsr"
"312","btub"
"313","buda"
"314","c1.100"
"315","c8"
"316","cada"
"317","cadc"
"318","cadd"
"319","cadr"
"320","caid"
"321","capu"
"322","cara"
"323","carb"
"324","carh"
"325","cas1"
"326","cas10"
"327","cas12a"
"328","cas1c"
"329","cas1e"
"330","cas1f"
"331","cas2"
"332","cas2e"
"333","cas3"
"334","cas4"
"335","cas5"
"336","cas5b"
"337","cas5c"
"338","cas5e"
"339","cas5fv"
"340","cas6"
"341","cas6e"
"342","cas6f"
"343","cas7c"
"344","cas7e"
"345","cas7fv"
"346","cas8c"
"347","casa"
"348","casb"
"349","cat"
"350","cat leader peptide gene"
"351","cata"
"352","catb"
"353","catc"
"354","cate"
"355","cax"
"356","cba"
"357","cbbx"
"358","cbi"
"359","cbib"
"360","cbid"
"361","cbie"
"362","cbim"
"363","cbiq"
"364","cbta"
"365","ccda"
"366","ccda_1"
"367","ccda_2"
"368","ccdb"
"369","ccdb_1"
"370","ccdb_2"
"371","ccgai"
"372","ccgaii"
"373","ccgc"
"374","ccgd"
"375","ccma"
"376","ccmb"
"377","ccmc"
"378","ccmd"
"379","ccme"
"380","ccmi"
"381","ccog"
"382","ccon"
"383","ccoo"
"384","ccop"
"385","ccos"
"386","ccra"
"387","ccsb"
"388","cdd"
"389","cdia"
"390","cdib_3"
"391","cdii"
"392","cdta"
"393","cdtb"
"394","cdtc"
"395","cea"
"396","cecr"
"397","celb"
"398","cexe"
"399","cfa"
"400","cfaa"
"401","cfab"
"402","cfac"
"403","cfad"
"404","cfad_2"
"405","cfae"
"406","cfr"
"407","cfrc"
"408","cgka"
"409","chba"
"410","chbc"
"411","chbg"
"412","chbr"
"413","chea"
"414","cheb"
"415","cheb1"
"416","ched"
"417","chem"
"418","cher"
"419","chew-2"
"420","chey"
"421","chey_2"
"422","chez"
"423","chez_2"
"424","chow"
"425","chox"
"426","chra"
"427","chrb"
"428","chve"
"429","chvh"
"430","cia"
"431","cib"
"432","cif"
"433","citc"
"434","citd"
"435","cite"
"436","citf"
"437","citg"
"438","citx"
"439","clca"
"440","cld"
"441","clpa"
"442","clpb"
"443","clpb_2"
"444","clpc"
"445","clpk"
"446","clpp"
"447","clps"
"448","clpx"
"449","cls"
"450","clsa"
"451","clsb"
"452","cma"
"453","cmdf"
"454","cmi"
"455","cml"
"456","cmla1"
"457","cmpa"
"458","cmr1"
"459","cmr4"
"460","cmr5"
"461","cmr6"
"462","cmx"
"463","cmx8"
"464","cnf2"
"465","cni"
"466","coabc"
"467","coad"
"468","coae"
"469","coba"
"470","cobb"
"471","cobd"
"472","cobf"
"473","cobg"
"474","cobh"
"475","cobi"
"476","cobj"
"477","cobk"
"478","cobm"
"479","cobn"
"480","cobo"
"481","cobs"
"482","cobt"
"483","cobw"
"484","coda"
"485","codb"
"486","cofc"
"487","cofd"
"488","cofe"
"489","cofg"
"490","cofh"
"491","coi"
"492","cola"
"493","comd"
"494","come"
"495","cooa"
"496","coob"
"497","cood"
"498","cooxm"
"499","copa"
"500","copa_2"
"501","copa_3"
"502","copb"
"503","copc"
"504","copd"
"505","copk"
