"","fima","fima_2","fima_3","fima_4","fimb","fimc","fimc_2","fimd","fimd_3","fimd_4","fimd_5","fimd_6","fime","fimf","fimf_1","fimg","fimh","fimi","fimt","fimv","fimw","fimy","fimz","pap","papa5","papc","papd","papx","pila","pili","pilj","pilk","pill","pilm","piln","pilo","pilo2","pilp","pilq","pilr","pils","pilt","pilt_1","pilu","pilv","pilv_1","pilv_2","pilvc","pilvd","pilw"
"'Nostoc_azollae'_0708__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Bacillus]_selenitireducens_MLS10__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Bacteroides]_pectinophilus_ATCC_43243__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Cellvibrio]_gilvus_ATCC_13127__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium]_acidurici_9a__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"[Clostridium]_aminophilum_DSM_10710__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium]_bifermentans_WYM__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium]_bolteae_ATCC_BAA-613__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium]_citroniae_WAL-17108__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium]_clariflavum_DSM_19732__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium]_clostridioforme_2_1_49FAA__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"[Clostridium]_hiranonis_DSM_13275__genes_data.csv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
