"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions"
"1","JN626286.1","Pseudomonas_aeruginosa_","37","350","438","6299","131860"
"2","LN864819.1","Pseudomonas_aeruginosa_","57","450","684","6299","131860"
"3","NZ_KX523901.1","Pseudomonas_aeruginosa_","12","74","73","6299","131860"
"4","MT441554.1","Pseudomonas_aeruginosa_","18","160","167","6299","131860"
"5","JN626286.1","Burkholderia_cepacia_","37","190","191","7323","122999"
"6","LN864819.1","Burkholderia_cepacia_","57","260","290","7323","122999"
"7","NZ_KX523901.1","Burkholderia_cepacia_","12","72","71","7323","122999"
"8","MT441554.1","Burkholderia_cepacia_","18","180","182","7323","122999"
"9","JN626286.1","Pseudomonas_oleovorans_","37","0","0","4683","132742"
"10","LN864819.1","Pseudomonas_oleovorans_","57","0","0","4683","132742"
"11","NZ_KX523901.1","Pseudomonas_oleovorans_","12","0","0","4683","132742"
"12","MT441554.1","Pseudomonas_oleovorans_","18","60","59","4683","132742"
"13","JN626286.1","Xanthomonas_campestris_pv._campestris_","37","152","166","4467","67256"
"14","LN864819.1","Xanthomonas_campestris_pv._campestris_","57","152","166","4467","67256"
"15","NZ_KX523901.1","Xanthomonas_campestris_pv._campestris_","12","55","54","4467","67256"
"16","MT441554.1","Xanthomonas_campestris_pv._campestris_","18","113","116","4467","67256"
"17","JN626286.1","Agrobacterium_rhizogenes_","37","147","183","6428","156272"
"18","LN864819.1","Agrobacterium_rhizogenes_","57","147","183","6428","156272"
"19","NZ_KX523901.1","Agrobacterium_rhizogenes_","12","0","0","6428","156272"
"20","MT441554.1","Agrobacterium_rhizogenes_","18","120","122","6428","156272"
"21","JN626286.1","Sinorhizobium_fredii_NGR234_","37","99","242","4053","58322"
"22","LN864819.1","Sinorhizobium_fredii_NGR234_","57","99","242","4053","58322"
"23","NZ_KX523901.1","Sinorhizobium_fredii_NGR234_","12","0","0","4053","58322"
"24","MT441554.1","Sinorhizobium_fredii_NGR234_","18","74","103","4053","58322"
"25","JN626286.1","Acinetobacter_baumannii_","37","0","0","4136","66809"
"26","LN864819.1","Acinetobacter_baumannii_","57","0","0","4136","66809"
"27","NZ_KX523901.1","Acinetobacter_baumannii_","12","0","0","4136","66809"
"28","MT441554.1","Acinetobacter_baumannii_","18","15","14","4136","66809"
"29","JN626286.1","Alcaligenes_faecalis_","37","26","25","3846","46327"
"30","LN864819.1","Alcaligenes_faecalis_","57","26","25","3846","46327"
"31","NZ_KX523901.1","Alcaligenes_faecalis_","12","0","0","3846","46327"
"32","MT441554.1","Alcaligenes_faecalis_","18","25","24","3846","46327"
"33","JN626286.1","Pantoea_agglomerans_","37","34","33","4914","65364"
"34","LN864819.1","Pantoea_agglomerans_","57","34","33","4914","65364"
"35","NZ_KX523901.1","Pantoea_agglomerans_","12","0","0","4914","65364"
"36","MT441554.1","Pantoea_agglomerans_","18","0","0","4914","65364"
"37","JN626286.1","Klebsiella_oxytoca_","37","135","152","5789","77528"
"38","LN864819.1","Klebsiella_oxytoca_","57","173","221","5789","77528"
"39","NZ_KX523901.1","Klebsiella_oxytoca_","12","51","50","5789","77528"
"40","MT441554.1","Klebsiella_oxytoca_","18","82","82","5789","77528"
"41","JN626286.1","Klebsiella_pneumoniae_","37","46","45","5797","83357"
"42","LN864819.1","Klebsiella_pneumoniae_","57","46","45","5797","83357"
"43","NZ_KX523901.1","Klebsiella_pneumoniae_","12","0","0","5797","83357"
"44","MT441554.1","Klebsiella_pneumoniae_","18","29","28","5797","83357"
"45","JN626286.1","Proteus_vulgaris_","37","56","69","3592","52313"
"46","LN864819.1","Proteus_vulgaris_","57","40","54","3592","52313"
"47","NZ_KX523901.1","Proteus_vulgaris_","12","0","0","3592","52313"
"48","MT441554.1","Proteus_vulgaris_","18","85","83","3592","52313"
"49","JN626286.1","Yersinia_pseudotuberculosis_","37","134","147","4115","67638"
"50","LN864819.1","Yersinia_pseudotuberculosis_","57","111","125","4115","67638"
"51","NZ_KX523901.1","Yersinia_pseudotuberculosis_","12","92","95","4115","67638"
"52","MT441554.1","Yersinia_pseudotuberculosis_","18","200","209","4115","67638"
"53","JN626286.1","Vibrio_vulnificus_","37","71","70","4512","77958"
"54","LN864819.1","Vibrio_vulnificus_","57","71","70","4512","77958"
"55","NZ_KX523901.1","Vibrio_vulnificus_","12","0","0","4512","77958"
"56","MT441554.1","Vibrio_vulnificus_","18","57","58","4512","77958"
"57","JN626286.1","Pasteurella_multocida_","37","75","87","2041","28254"
"58","LN864819.1","Pasteurella_multocida_","57","75","87","2041","28254"
"59","NZ_KX523901.1","Pasteurella_multocida_","12","46","45","2041","28254"
"60","MT441554.1","Pasteurella_multocida_","18","68","71","2041","28254"
"61","JN626286.1","Pasteurella_pneumotropica_","37","27","26","2213","31650"
"62","LN864819.1","Pasteurella_pneumotropica_","57","27","26","2213","31650"
"63","NZ_KX523901.1","Pasteurella_pneumotropica_","12","0","0","2213","31650"
"64","MT441554.1","Pasteurella_pneumotropica_","18","27","26","2213","31650"
"65","JN626286.1","Chlamydia_trachomatis_","37","64","67","930","13232"
"66","LN864819.1","Chlamydia_trachomatis_","57","64","67","930","13232"
"67","NZ_KX523901.1","Chlamydia_trachomatis_","12","40","39","930","13232"
"68","MT441554.1","Chlamydia_trachomatis_","18","44","44","930","13232"
"69","JN626286.1","Campylobacter_ureolyticus_","37","82","115","1697","20108"
"70","LN864819.1","Campylobacter_ureolyticus_","57","82","115","1697","20108"
"71","NZ_KX523901.1","Campylobacter_ureolyticus_","12","24","23","1697","20108"
"72","MT441554.1","Campylobacter_ureolyticus_","18","24","23","1697","20108"
"73","JN626286.1","Desulfovibrio_vulgaris_str._Hildenborough_","37","112","111","3388","57795"
"74","LN864819.1","Desulfovibrio_vulgaris_str._Hildenborough_","57","118","118","3388","57795"
"75","NZ_KX523901.1","Desulfovibrio_vulgaris_str._Hildenborough_","12","122","140","3388","57795"
"76","MT441554.1","Desulfovibrio_vulgaris_str._Hildenborough_","18","122","140","3388","57795"
"77","JN626286.1","Desulfovibrio_vulgaris_str._'Miyazaki_F'_","37","28","27","3182","51083"
"78","LN864819.1","Desulfovibrio_vulgaris_str._'Miyazaki_F'_","57","28","27","3182","51083"
"79","NZ_KX523901.1","Desulfovibrio_vulgaris_str._'Miyazaki_F'_","12","0","0","3182","51083"
"80","MT441554.1","Desulfovibrio_vulgaris_str._'Miyazaki_F'_","18","0","0","3182","51083"
"81","JN626286.1","Flavobacterium_hydatis_","37","21","20","4666","71026"
"82","LN864819.1","Flavobacterium_hydatis_","57","21","20","4666","71026"
"83","NZ_KX523901.1","Flavobacterium_hydatis_","12","0","0","4666","71026"
"84","MT441554.1","Flavobacterium_hydatis_","18","0","0","4666","71026"
"85","JN626286.1","Erythrobacter_longus_","37","16","15","3219","44004"
"86","LN864819.1","Erythrobacter_longus_","57","16","15","3219","44004"
"87","NZ_KX523901.1","Erythrobacter_longus_","12","0","0","3219","44004"
"88","MT441554.1","Erythrobacter_longus_","18","0","0","3219","44004"
"89","JN626286.1","Synechococcus_elongatus_PCC_7942_","37","33","38","2661","51188"
"90","LN864819.1","Synechococcus_elongatus_PCC_7942_","57","33","38","2661","51188"
"91","NZ_KX523901.1","Synechococcus_elongatus_PCC_7942_","12","0","0","2661","51188"
"92","MT441554.1","Synechococcus_elongatus_PCC_7942_","18","0","0","2661","51188"
"93","JN626286.1","Synechocystis_sp._PCC_6714_","37","36","34","3568","43596"
"94","LN864819.1","Synechocystis_sp._PCC_6714_","57","59","57","3568","43596"
"95","NZ_KX523901.1","Synechocystis_sp._PCC_6714_","12","32","31","3568","43596"
"96","MT441554.1","Synechocystis_sp._PCC_6714_","18","36","34","3568","43596"
"97","JN626286.1","Leuconostoc_lactis_","37","0","0","1607","23444"
"98","LN864819.1","Leuconostoc_lactis_","57","0","0","1607","23444"
"99","NZ_KX523901.1","Leuconostoc_lactis_","12","0","0","1607","23444"
"100","MT441554.1","Leuconostoc_lactis_","18","26","25","1607","23444"
"101","JN626286.1","Dermacoccus_nishinomiyaensis_","37","0","0","2296","27481"
"102","LN864819.1","Dermacoccus_nishinomiyaensis_","57","0","0","2296","27481"
"103","NZ_KX523901.1","Dermacoccus_nishinomiyaensis_","12","0","0","2296","27481"
