"","Chrom","pOXA-48","pKP112","pOXA-48_30715","pOXA-48_k8"
"1016","[Bacillus]_selenitireducens_MLS10_",43,43,0,15
"2929","[Bacillus]_selenitireducens_MLS10_",43,43,0,15
"1476","[Cellvibrio]_gilvus_ATCC_13127_",0,0,0,16
"3389","[Cellvibrio]_gilvus_ATCC_13127_",0,0,0,16
"971","[Clostridium]_bolteae_ATCC_BAA-613_",81,81,0,0
"2884","[Clostridium]_bolteae_ATCC_BAA-613_",81,81,0,0
"1786","[Clostridium]_citroniae_WAL-17108_",87,87,0,0
"3699","[Clostridium]_citroniae_WAL-17108_",87,87,0,0
"1774","[Clostridium]_clariflavum_DSM_19732_",0,0,0,4
"3687","[Clostridium]_clariflavum_DSM_19732_",0,0,0,4
"1787","[Clostridium]_clostridioforme_2_1_49FAA_",64,64,0,0
"3700","[Clostridium]_clostridioforme_2_1_49FAA_",64,64,0,0
"1336","[Clostridium]_hylemonae_DSM_15053_",36,36,0,13
"3249","[Clostridium]_hylemonae_DSM_15053_",36,36,0,13
"996","[Clostridium]_leptum_DSM_753_",23,23,0,23
"2909","[Clostridium]_leptum_DSM_753_",23,23,0,23
"957","[Clostridium]_scindens_ATCC_35704_",47,47,0,17
"2870","[Clostridium]_scindens_ATCC_35704_",47,47,0,17
"35","[Clostridium]_sticklandii_",57,57,0,10
"1948","[Clostridium]_sticklandii_",57,57,0,10
"1790","[Clostridium]_symbiosum_WAL-14673_",73,220,46,103
"3703","[Clostridium]_symbiosum_WAL-14673_",73,220,46,103
"1467","Abiotrophia_defectiva_ATCC_49176_",0,0,0,29
"3380","Abiotrophia_defectiva_ATCC_49176_",0,0,0,29
"718","Acaryochloris_marina_MBIC11017_",20,20,2,2
"2631","Acaryochloris_marina_MBIC11017_",20,20,2,2
"1534","Acetobacter_pasteurianus_IFO_3283-01_",97,97,43,71
"3447","Acetobacter_pasteurianus_IFO_3283-01_",97,97,43,71
"1404","Acetohalobium_arabaticum_DSM_5501_",28,28,0,0
"3317","Acetohalobium_arabaticum_DSM_5501_",28,28,0,0
"1023","Acholeplasma_laidlawii_PG-8A_",26,47,0,11
"2936","Acholeplasma_laidlawii_PG-8A_",26,47,0,11
"1120","Achromobacter_arsenitoxydans_SY8_",31,31,0,30
"3033","Achromobacter_arsenitoxydans_SY8_",31,31,0,30
"1780","Achromobacter_piechaudii_ATCC_43553_",190,145,11,71
"3693","Achromobacter_piechaudii_ATCC_43553_",190,145,11,71
"1862","Achromobacter_xylosoxidans_A8_",48,147,0,29
"3775","Achromobacter_xylosoxidans_A8_",48,147,0,29
"1461","Acidaminococcus_fermentans_DSM_20731_",0,0,0,19
"3374","Acidaminococcus_fermentans_DSM_20731_",0,0,0,19
"1386","Acidaminococcus_intestini_RyC-MR95_",19,19,0,0
"3299","Acidaminococcus_intestini_RyC-MR95_",19,19,0,0
"763","Acidiphilium_cryptum_JF-5_",26,26,0,0
"2676","Acidiphilium_cryptum_JF-5_",26,26,0,0
"1541","Acidithiobacillus_caldus_ATCC_51756_",25,51,0,20
"3454","Acidithiobacillus_caldus_ATCC_51756_",25,51,0,20
"1800","Acidithiobacillus_ferrivorans_SS3_",26,26,0,17
"3713","Acidithiobacillus_ferrivorans_SS3_",26,26,0,17
"443","Acidithiobacillus_ferrooxidans_ATCC_23270_",62,94,14,63
"2356","Acidithiobacillus_ferrooxidans_ATCC_23270_",62,94,14,63
"831","Acidithiobacillus_ferrooxidans_ATCC_53993_",23,23,0,16
"2744","Acidithiobacillus_ferrooxidans_ATCC_53993_",23,23,0,16
"1542","Acidithiobacillus_thiooxidans_ATCC_19377_",0,75,0,26
"3455","Acidithiobacillus_thiooxidans_ATCC_19377_",0,75,0,26
"437","Acidobacterium_capsulatum_ATCC_51196_",73,95,39,39
"2350","Acidobacterium_capsulatum_ATCC_51196_",73,95,39,39
"775","Acidothermus_cellulolyticus_11B_",0,0,0,11
"2688","Acidothermus_cellulolyticus_11B_",0,0,0,11
"915","Acidovorax_citrulli_AAC00-1_",27,27,0,25
"2828","Acidovorax_citrulli_AAC00-1_",27,27,0,25
"1271","Acidovorax_ebreus_TPSY_",31,72,0,25
"3184","Acidovorax_ebreus_TPSY_",31,72,0,25
"423","Acidovorax_sp._JS42_",32,61,0,23
"2336","Acidovorax_sp._JS42_",32,61,0,23
"788","Acidovorax_sp._KKS102_",97,135,0,76
"2701","Acidovorax_sp._KKS102_",97,135,0,76
"8","Acinetobacter_baumannii_",0,0,0,15
"1921","Acinetobacter_baumannii_",0,0,0,15
"240","Acinetobacter_bereziniae_",29,48,0,23
"2153","Acinetobacter_bereziniae_",29,48,0,23
"350","Acinetobacter_gerneri_",0,0,0,22
"2263","Acinetobacter_gerneri_",0,0,0,22
"1411","Acinetobacter_johnsonii_SH046_",43,43,24,57
"3324","Acinetobacter_johnsonii_SH046_",43,43,24,57
"105","Acinetobacter_junii_",0,0,0,18
"2018","Acinetobacter_junii_",0,0,0,18
"1412","Acinetobacter_lwoffii_SH145_",11,11,0,31
"3325","Acinetobacter_lwoffii_SH145_",11,11,0,31
"1013","Acinetobacter_oleivorans_DR1_",0,0,0,29
"2926","Acinetobacter_oleivorans_DR1_",0,0,0,29
"1413","Acinetobacter_radioresistens_SH164_",0,0,0,29
"3326","Acinetobacter_radioresistens_SH164_",0,0,0,29
"987","Acinetobacter_rudis_CIP_110305_",0,0,0,35
"2900","Acinetobacter_rudis_CIP_110305_",0,0,0,35
"1150","Acinetobacter_soli_",0,0,0,30
"3063","Acinetobacter_soli_",0,0,0,30
"145","Acinetobacter_sp._ADP1_",88,88,75,97
"2058","Acinetobacter_sp._ADP1_",88,88,75,97
"1232","Acinetobacter_sp._ATCC_27244_",87,87,54,79
"3145","Acinetobacter_sp._ATCC_27244_",87,87,54,79
"106","Acinetobacter_sp._CIP-A165_",0,0,0,21
"2019","Acinetobacter_sp._CIP-A165_",0,0,0,21
"1410","Acinetobacter_sp._RUH2624_",26,26,0,30
"3323","Acinetobacter_sp._RUH2624_",26,26,0,30
"1084","Acinetobacter_sp._Ver3_",0,0,0,28
"2997","Acinetobacter_sp._Ver3_",0,0,0,28
"351","Acinetobacter_tandoii_",0,0,0,33
"2264","Acinetobacter_tandoii_",0,0,0,33
"352","Acinetobacter_tjernbergiae_",0,0,0,21
"2265","Acinetobacter_tjernbergiae_",0,0,0,21
"353","Acinetobacter_towneri_",0,0,0,23
"2266","Acinetobacter_towneri_",0,0,0,23
"1462","Actinobacillus_minor_202_",0,11,0,28
"3375","Actinobacillus_minor_202_",0,11,0,28
"1545","Actinobacillus_minor_NM305_",80,80,0,18
"3458","Actinobacillus_minor_NM305_",80,80,0,18
"417","Actinobacillus_pleuropneumoniae_serovar_1_str._4074_",80,80,0,27
"2330","Actinobacillus_pleuropneumoniae_serovar_1_str._4074_",80,80,0,27
"978","Actinobacillus_pleuropneumoniae_serovar_5b_str._L20_",46,67,41,60
"2891","Actinobacillus_pleuropneumoniae_serovar_5b_str._L20_",46,67,41,60
"744","Actinobacillus_succinogenes_130Z_",27,27,0,29
"2657","Actinobacillus_succinogenes_130Z_",27,27,0,29
"1707","Actinobacillus_suis_H91-0380_",78,78,0,25
"3620","Actinobacillus_suis_H91-0380_",78,78,0,25
"1005","Actinomyces_graevenitzii_C83_",0,0,0,18
"2918","Actinomyces_graevenitzii_C83_",0,0,0,18
"1593","Actinomyces_sp._oral_taxon_848_str._F0332_",0,0,2,2
"3506","Actinomyces_sp._oral_taxon_848_str._F0332_",0,0,2,2
"1234","Actinomyces_urogenitalis_DSM_15434_",0,0,0,16
"3147","Actinomyces_urogenitalis_DSM_15434_",0,0,0,16
"1364","Actinomyces_viscosus_C505_",0,0,0,13
"3277","Actinomyces_viscosus_C505_",0,0,0,13
"1198","Actinoplanes_missouriensis_431_",8,8,0,0
"3111","Actinoplanes_missouriensis_431_",8,8,0,0
"1598","Actinoplanes_sp._N902-109_",87,100,67,76
"3511","Actinoplanes_sp._N902-109_",87,100,67,76
"46","Actinoplanes_utahensis_",0,0,0,16
"1959","Actinoplanes_utahensis_",0,0,0,16
"1042","Actinosynnema_mirum_DSM_43827_",0,0,0,16
"2955","Actinosynnema_mirum_DSM_43827_",0,0,0,16
"1605","Aerococcus_viridans_ATCC_11563_",84,107,58,73
"3518","Aerococcus_viridans_ATCC_11563_",84,107,58,73
"1450","Aeromicrobium_marinum_DSM_15272_",0,99,0,27
"3363","Aeromicrobium_marinum_DSM_15272_",0,99,0,27
"832","Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966_",113,113,107,127
"2745","Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966_",113,113,107,127
"836","Aeromonas_salmonicida_subsp._salmonicida_A449_",158,165,82,118
"2749","Aeromonas_salmonicida_subsp._salmonicida_A449_",158,165,82,118
"1639","Afipia_sp._1NLS2_",21,21,0,21
"3552","Afipia_sp._1NLS2_",21,21,0,21
"1702","Aggregatibacter_actinomycetemcomitans_D7S-1_",28,28,0,22
"3615","Aggregatibacter_actinomycetemcomitans_D7S-1_",28,28,0,22
"531","Aggregatibacter_actinomycetemcomitans_HK1651_",23,23,0,33
"2444","Aggregatibacter_actinomycetemcomitans_HK1651_",23,23,0,33
"1532","Aggregatibacter_aphrophilus_NJ8700_",24,24,0,16
"3445","Aggregatibacter_aphrophilus_NJ8700_",24,24,0,16
"311","Agrobacterium_fabrum_str._C58_",127,154,84,113
"2224","Agrobacterium_fabrum_str._C58_",127,154,84,113
"619","Agrobacterium_radiobacter_K84_",142,142,75,94
"2532","Agrobacterium_radiobacter_K84_",142,142,75,94
"6","Agrobacterium_rhizogenes_",147,147,0,120
"1919","Agrobacterium_rhizogenes_",147,147,0,120
"618","Agrobacterium_vitis_S4_",108,111,74,101
"2531","Agrobacterium_vitis_S4_",108,111,74,101
"1812","Ahrensia_sp._R2A130_",77,77,0,62
"3725","Ahrensia_sp._R2A130_",77,77,0,62
"9","Alcaligenes_faecalis_",26,26,0,25
"1922","Alcaligenes_faecalis_",26,26,0,25
"893","Alcanivorax_borkumensis_SK2_",83,83,50,81
"2806","Alcanivorax_borkumensis_SK2_",83,83,50,81
"432","Alcanivorax_sp._DG881_",18,18,0,16
"2345","Alcanivorax_sp._DG881_",18,18,0,16
